freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.921e+00,2.510e+02,8.478e+00,2.664e+02
1.6,1.130e+01,1.478e+02,1.099e+01,1.701e+02
3.2,1.034e+01,3.295e+01,8.762e+00,5.205e+01
4.8,1.024e+01,4.303e+02,9.515e+00,4.501e+02
6.4,1.058e+01,1.370e+03,1.240e+01,1.393e+03
8.0,1.156e+01,2.368e+03,2.485e+01,2.405e+03
9.6,1.177e+01,4.051e+03,1.795e+02,4.243e+03
11.2,1.323e+01,4.352e+03,4.393e+02,4.804e+03
12.8,1.301e+01,3.412e+03,1.680e+02,3.593e+03
14.4,1.610e+01,5.036e+03,3.285e+01,5.085e+03
16.0,1.728e+01,7.604e+03,2.194e+01,7.644e+03
17.6,1.601e+01,9.986e+03,2.033e+01,1.002e+04
19.2,1.963e+01,1.265e+04,2.534e+01,1.270e+04
20.8,2.290e+01,1.601e+04,3.496e+01,1.607e+04
22.4,2.524e+01,1.931e+04,5.324e+01,1.939e+04
24.0,2.541e+01,2.371e+04,6.631e+01,2.380e+04
25.6,2.734e+01,2.886e+04,6.896e+01,2.895e+04
27.2,3.191e+01,3.590e+04,5.373e+01,3.598e+04
28.8,3.789e+01,4.505e+04,6.553e+01,4.515e+04
30.4,5.988e+01,5.938e+04,1.204e+02,5.956e+04
32.0,9.916e+01,7.858e+04,2.642e+02,7.894e+04
33.6,1.617e+02,9.433e+04,3.828e+02,9.488e+04
35.2,2.464e+02,1.095e+05,3.381e+02,1.101e+05
36.8,3.249e+02,1.377e+05,2.406e+02,1.383e+05
38.4,3.746e+02,1.722e+05,1.755e+02,1.728e+05
40.0,4.222e+02,2.084e+05,1.944e+02,2.090e+05
41.5,4.082e+02,2.250e+05,3.423e+02,2.257e+05
43.1,3.271e+02,2.588e+05,9.355e+02,2.601e+05
44.7,1.890e+02,3.105e+05,2.202e+03,3.129e+05
46.3,1.399e+02,3.389e+05,3.765e+03,3.428e+05
47.9,3.596e+02,3.483e+05,4.823e+03,3.535e+05
49.5,5.937e+02,3.273e+05,6.324e+03,3.343e+05
51.1,8.649e+02,2.621e+05,8.302e+03,2.713e+05
52.7,1.239e+03,1.967e+05,9.084e+03,2.070e+05
54.3,1.749e+03,1.550e+05,1.066e+04,1.674e+05
55.9,3.130e+03,1.666e+05,1.436e+04,1.840e+05
57.5,4.717e+03,1.871e+05,1.673e+04,2.086e+05
59.1,5.293e+03,1.896e+05,1.611e+04,2.110e+05
60.7,4.777e+03,1.730e+05,1.250e+04,1.902e+05
62.3,3.979e+03,1.438e+05,9.039e+03,1.568e+05
63.9,4.436e+03,1.201e+05,9.306e+03,1.338e+05
65.5,6.232e+03,1.089e+05,1.210e+04,1.273e+05
67.1,8.854e+03,1.025e+05,1.644e+04,1.278e+05
68.7,1.021e+04,9.016e+04,1.872e+04,1.191e+05
70.3,8.361e+03,6.970e+04,1.483e+04,9.290e+04
71.9,5.558e+03,5.224e+04,7.974e+03,6.577e+04
73.5,4.556e+03,5.066e+04,4.504e+03,5.972e+04
75.1,5.822e+03,6.676e+04,5.017e+03,7.760e+04
76.7,7.926e+03,8.536e+04,8.607e+03,1.019e+05
78.3,8.207e+03,1.008e+05,8.790e+03,1.178e+05
79.9,1.249e+04,1.194e+05,9.745e+03,1.416e+05
81.5,1.360e+04,1.145e+05,9.263e+03,1.374e+05
83.1,1.818e+04,1.043e+05,9.171e+03,1.316e+05
84.7,2.321e+04,9.987e+04,1.109e+04,1.342e+05
86.3,2.542e+04,1.005e+05,1.398e+04,1.399e+05
87.9,1.900e+04,9.628e+04,1.299e+04,1.283e+05
89.5,8.865e+03,9.550e+04,8.602e+03,1.130e+05
91.1,5.411e+03,1.064e+05,7.131e+03,1.190e+05
92.7,2.837e+03,1.162e+05,5.051e+03,1.241e+05
94.3,1.096e+03,1.204e+05,3.047e+03,1.246e+05
95.9,1.247e+03,1.249e+05,2.006e+03,1.282e+05
97.5,1.868e+03,1.274e+05,1.389e+03,1.307e+05
99.1,2.344e+03,1.275e+05,9.229e+02,1.307e+05
100.7,2.589e+03,1.263e+05,5.748e+02,1.294e+05
102.3,2.691e+03,1.263e+05,3.478e+02,1.293e+05
103.9,4.631e+03,1.262e+05,1.898e+02,1.310e+05
105.5,8.634e+03,1.238e+05,1.156e+02,1.326e+05
107.1,1.182e+04,1.207e+05,1.585e+02,1.327e+05
108.7,1.366e+04,1.173e+05,2.114e+02,1.312e+05
110.3,1.501e+04,1.139e+05,2.268e+02,1.291e+05
111.9,1.613e+04,1.095e+05,2.197e+02,1.259e+05
113.5,1.726e+04,1.019e+05,1.774e+02,1.194e+05
115.1,1.872e+04,9.260e+04,1.505e+02,1.115e+05
116.7,1.755e+04,8.761e+04,4.057e+02,1.056e+05
118.3,1.640e+04,8.900e+04,8.329e+02,1.062e+05
119.9,1.486e+04,8.662e+04,9.956e+02,1.025e+05
121.4,1.109e+04,6.009e+04,7.894e+02,7.197e+04
123.0,1.159e+04,4.550e+04,6.838e+02,5.778e+04
124.6,1.604e+04,4.368e+04,6.796e+02,6.041e+04
126.2,2.142e+04,4.276e+04,7.068e+02,6.488e+04
127.8,2.640e+04,3.944e+04,7.730e+02,6.662e+04
129.4,3.009e+04,3.278e+04,8.459e+02,6.372e+04
131.0,3.160e+04,2.490e+04,9.794e+02,5.748e+04
132.6,2.319e+04,1.452e+04,8.556e+02,3.857e+04
134.2,4.278e+03,2.646e+03,2.453e+02,7.169e+03
135.8,5.571e+02,5.566e+02,1.436e+02,1.257e+03
137.4,4.749e+02,4.372e+02,1.825e+02,1.095e+03
139.0,4.848e+02,3.669e+02,2.933e+02,1.145e+03
140.6,3.283e+02,2.165e+02,2.450e+02,7.899e+02
142.2,1.214e+02,1.404e+02,9.146e+01,3.533e+02
143.8,7.913e+01,1.761e+02,7.027e+01,3.255e+02
145.4,7.875e+01,1.912e+02,5.876e+01,3.287e+02
147.0,1.044e+02,3.354e+02,4.352e+01,4.833e+02
148.6,2.080e+02,9.598e+02,4.302e+01,1.211e+03
150.2,2.687e+02,1.496e+03,4.330e+01,1.808e+03
151.8,2.568e+02,1.424e+03,3.686e+01,1.718e+03
153.4,2.455e+02,1.240e+03,2.854e+01,1.514e+03
155.0,2.834e+02,1.191e+03,2.703e+01,1.502e+03
156.6,3.580e+02,1.155e+03,2.520e+01,1.539e+03
158.2,5.434e+02,1.385e+03,2.806e+01,1.957e+03
159.8,1.414e+03,3.249e+03,4.096e+01,4.704e+03
161.4,2.372e+03,5.214e+03,6.417e+01,7.651e+03
163.0,2.710e+03,5.180e+03,8.524e+01,7.975e+03
164.6,3.069e+03,5.100e+03,1.045e+02,8.273e+03
166.2,3.573e+03,5.359e+03,9.581e+01,9.029e+03
167.8,3.814e+03,5.254e+03,7.394e+01,9.142e+03
169.4,4.213e+03,5.244e+03,7.171e+01,9.529e+03
171.0,5.514e+03,6.367e+03,8.848e+01,1.197e+04
172.6,6.776e+03,7.007e+03,1.130e+02,1.390e+04
174.2,8.573e+03,8.171e+03,1.310e+02,1.687e+04
175.8,1.081e+04,9.759e+03,1.520e+02,2.072e+04
177.4,1.223e+04,1.036e+04,1.533e+02,2.274e+04
179.0,1.456e+04,1.122e+04,1.598e+02,2.594e+04
180.6,1.672e+04,1.173e+04,1.921e+02,2.864e+04
182.2,1.470e+04,9.457e+03,2.041e+02,2.436e+04
183.8,1.160e+04,6.826e+03,1.980e+02,1.862e+04
185.4,1.107e+04,5.765e+03,2.163e+02,1.705e+04
187.0,1.115e+04,5.082e+03,2.356e+02,1.647e+04
188.6,1.032e+04,4.259e+03,2.215e+02,1.480e+04
190.2,1.128e+04,4.337e+03,2.113e+02,1.583e+04
191.8,1.442e+04,5.094e+03,2.377e+02,1.975e+04
193.4,1.639e+04,5.496e+03,2.444e+02,2.213e+04
195.0,1.586e+04,5.075e+03,2.384e+02,2.118e+04
196.6,1.547e+04,4.717e+03,2.377e+02,2.043e+04
198.2,1.410e+04,3.955e+03,2.268e+02,1.829e+04
199.8,1.307e+04,3.295e+03,2.209e+02,1.659e+04
