freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.412e+00,6.795e+00,1.393e+02,1.555e+02
1.6,1.883e+01,1.855e+01,8.146e+01,1.188e+02
3.2,1.615e+01,1.595e+01,2.313e+01,5.522e+01
4.8,1.865e+01,1.473e+01,4.177e+02,4.510e+02
6.4,2.037e+01,1.562e+01,1.400e+03,1.436e+03
8.0,1.954e+01,2.333e+01,2.714e+03,2.757e+03
9.6,2.272e+01,3.275e+02,5.507e+03,5.858e+03
11.2,2.265e+01,8.379e+02,4.084e+03,4.944e+03
12.8,2.019e+01,2.265e+02,2.690e+03,2.936e+03
14.4,1.962e+01,2.177e+01,4.570e+03,4.611e+03
16.0,2.135e+01,1.660e+01,6.915e+03,6.953e+03
17.6,2.523e+01,2.137e+01,9.424e+03,9.471e+03
19.2,2.934e+01,3.153e+01,1.217e+04,1.223e+04
20.8,2.549e+01,2.833e+01,1.492e+04,1.497e+04
22.4,2.323e+01,2.671e+01,1.877e+04,1.882e+04
24.0,3.044e+01,5.301e+01,2.505e+04,2.513e+04
25.6,4.907e+01,8.378e+01,3.083e+04,3.096e+04
27.2,8.060e+01,8.440e+01,4.216e+04,4.232e+04
28.8,1.313e+02,7.398e+01,5.663e+04,5.684e+04
30.4,2.844e+02,5.149e+01,7.051e+04,7.085e+04
32.0,3.466e+02,4.670e+01,6.376e+04,6.416e+04
33.6,4.279e+02,8.932e+01,5.793e+04,5.845e+04
35.2,6.401e+02,1.181e+02,6.427e+04,6.503e+04
36.8,8.758e+02,1.638e+02,7.061e+04,7.165e+04
38.4,1.117e+03,3.937e+02,6.207e+04,6.358e+04
40.0,1.538e+03,7.190e+02,7.058e+04,7.284e+04
41.6,2.064e+03,9.626e+02,8.089e+04,8.392e+04
43.2,3.145e+03,1.331e+03,1.019e+05,1.064e+05
44.8,5.250e+03,2.242e+03,1.440e+05,1.515e+05
46.4,8.138e+03,2.973e+03,1.930e+05,2.041e+05
47.9,1.004e+04,1.810e+03,2.030e+05,2.149e+05
49.5,8.073e+03,9.775e+02,1.558e+05,1.649e+05
51.1,4.942e+03,8.475e+02,9.388e+04,9.966e+04
52.7,3.451e+03,6.148e+02,5.198e+04,5.605e+04
54.3,3.161e+03,5.612e+02,3.497e+04,3.869e+04
55.9,3.512e+03,7.535e+02,3.360e+04,3.787e+04
57.5,4.203e+03,8.903e+02,3.933e+04,4.442e+04
59.1,5.200e+03,9.398e+02,4.283e+04,4.897e+04
60.7,5.335e+03,9.026e+02,3.589e+04,4.213e+04
62.3,4.608e+03,7.756e+02,2.414e+04,2.953e+04
63.9,4.635e+03,6.959e+02,1.725e+04,2.258e+04
65.5,5.845e+03,5.594e+02,1.641e+04,2.281e+04
67.1,7.532e+03,3.841e+02,2.019e+04,2.810e+04
68.7,9.195e+03,3.310e+02,2.767e+04,3.720e+04
70.3,1.006e+04,3.494e+02,3.299e+04,4.340e+04
71.9,1.010e+04,3.185e+02,3.389e+04,4.431e+04
73.5,9.781e+03,2.926e+02,3.252e+04,4.259e+04
75.1,9.536e+03,2.898e+02,3.090e+04,4.073e+04
76.7,9.388e+03,2.830e+02,2.877e+04,3.844e+04
78.3,8.153e+03,3.248e+02,2.332e+04,3.179e+04
79.9,7.404e+03,3.172e+02,1.917e+04,2.689e+04
81.5,9.103e+03,3.221e+02,1.779e+04,2.721e+04
83.1,8.382e+03,3.530e+02,1.348e+04,2.222e+04
84.7,6.676e+03,4.131e+02,9.609e+03,1.670e+04
86.3,7.905e+03,4.235e+02,8.796e+03,1.713e+04
87.9,8.894e+03,4.082e+02,7.766e+03,1.707e+04
89.5,8.130e+03,4.243e+02,5.910e+03,1.446e+04
91.1,7.643e+03,4.886e+02,4.982e+03,1.311e+04
92.7,6.118e+03,4.833e+02,3.631e+03,1.023e+04
94.3,4.699e+03,4.002e+02,2.829e+03,7.928e+03
95.9,4.310e+03,3.186e+02,2.743e+03,7.372e+03
97.5,4.842e+03,3.432e+02,2.653e+03,7.838e+03
99.1,4.609e+03,3.940e+02,2.018e+03,7.021e+03
100.7,4.009e+03,3.511e+02,1.209e+03,5.569e+03
102.3,3.928e+03,3.029e+02,6.869e+02,4.918e+03
103.9,4.323e+03,3.398e+02,4.165e+02,5.079e+03
105.5,4.606e+03,4.451e+02,2.692e+02,5.320e+03
107.1,4.957e+03,6.576e+02,1.700e+02,5.785e+03
108.7,6.867e+03,1.116e+03,1.185e+02,8.101e+03
110.3,1.141e+04,3.336e+03,2.014e+02,1.495e+04
111.9,1.854e+04,1.446e+04,6.923e+02,3.370e+04
113.5,2.168e+04,3.966e+04,1.770e+03,6.311e+04
115.1,1.917e+04,5.757e+04,2.350e+03,7.909e+04
116.7,1.643e+04,5.801e+04,1.983e+03,7.643e+04
118.3,1.729e+04,5.075e+04,1.488e+03,6.953e+04
119.9,1.632e+04,3.460e+04,1.530e+03,5.246e+04
